nombre,lon,lat
Buenos Aires,-58.3816,-34.6037
La Plata,-57.9545,-34.9215
Cordoba,-64.1888,-31.4201
Rosario,-60.6393,-32.9468
Santa Fe,-60.7089,-31.6333
Mendoza,-68.8272,-32.8908
San Miguel de Tucuman,-65.2226,-26.8241
La Rioja,-66.8500,-29.4131
San Juan,-68.5364,-31.5375
Salta,-65.4232,-24.7859
San Salvador de Jujuy,-65.2995,-24.1858
Resistencia,-59.0498,-27.4514
Corrientes,-58.8341,-27.4806
Posadas,-55.8961,-27.3671
Formosa,-58.1781,-26.1849
Santiago del Estero,-64.2649,-27.7834
Catamarca,-65.7795,-28.4696
Parana,-60.5238,-31.7319
Neuquen,-68.0591,-38.9516
Viedma,-63.0000,-40.8135
Santa Rosa,-64.2708,-36.6167
Rawson,-65.1023,-43.3002
Rio Gallegos,-69.2168,-51.6230
Ushuaia,-68.3029,-54.8019
San Luis,-66.3378,-33.2950
Mar del Plata,-57.5575,-38.0055
Bahia Blanca,-62.2724,-38.7183
Comodoro Rivadavia,-67.4820,-45.8641
Puerto Madryn,-65.0327,-42.7692
Tandil,-59.1334,-37.3217
Villa Maria,-63.2422,-32.4076
Rio Cuarto,-64.3492,-33.1232
San Rafael,-68.3301,-34.6177
Bariloche,-71.3080,-41.1335
Trelew,-65.3051,-43.2481
Necochea,-58.7368,-38.5545
Junin,-60.9308,-34.5834
Rio Grande,-67.7000,-53.7833
Presidencia Roque Saenz Pena,-60.4394,-26.7852
Villa Mercedes,-65.4640,-33.6786
General Roca,-67.5804,-39.0333
Concordia,-58.0209,-31.3929
Gualeguaychu,-58.5173,-33.0094
Victoria,-60.1544,-32.6167
Rafaela,-61.4867,-31.2503
San Nicolas de los Arroyos,-60.2216,-33.3358
Gualeguay,-59.3308,-33.1417
Villaguay,-59.0219,-31.8686
Diamante,-60.6414,-32.0575
Nogoya,-59.7889,-32.3986
Colon,-58.1447,-32.2247
Concepcion del Uruguay,-58.2342,-32.4825
